row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,4_Sel_WT4_ex10.mzML Peak area,1_Sel_WT1_ex10.mzML Peak area,2_Sel_WT2_ex10.mzML Peak area,3_Sel_WT3_ex10.mzML Peak area,6_Sel_delta1_ex10.mzML Peak area,7_Sel_delta2_ex10.mzML Peak area,8_Sel_delta3_ex10.mzML Peak area,11_Sel_WT1_stat10.mzML Peak area,12_Sel_WT2_stat10.mzML Peak area,5_Sel_WT5_ex10.mzML Peak area,10_Sel_delta5_ex10.mzML Peak area,14_Sel_WT4_stat10.mzML Peak area,9_Sel_delta4_ex10.mzML Peak area,13_Sel_WT3_stat10.mzML Peak area,Medium_Blank10.mzML Peak area,16_Sel_delta1_stat10.mzML Peak area,15_Sel_WT5_stat10.mzML Peak area,18_Sel_delta3_stat10.mzML Peak area,19_Sel_delta4_stat10.mzML Peak area,20_Sel_delta5_stat10.mzML Peak area,17_Sel_delta2_stat10.mzML Peak area,Unnamed: 34
1343,150.0583946,0.48621073,,,,,,,,,,,380804.38,272412.78,418842,630364.56,429961.4,272229.06,324309.5,165676.8,322668.22,178144.11,74270.77,423306.84,287837.9,182642.2,0,132274.17,152275.81,59545.96,34766.99,143346.08,105359.734,
76,150.1026108,0.26042658,,,,12,,,,,,,9099.064,5106.839,3553.566,1681.699,2190.163,2267.3052,3213.9312,4936.8794,6374.8525,0,3147.5178,2824.6587,10306.493,26106.453,3584.5308,4637.0894,3373.7698,37521.805,12184.533,35473.137,3050.5708,
10,150.1026123,0.10810864,,,,,,,,,,,8035.481,9976.259,3656.5723,5384.9854,222.76971,628.2023,4264.7847,13411.025,988.1228,0,6474.2183,13849.722,1744.4691,2282.8418,10514.681,4382.9346,45595.01,7651.2017,6739.459,1896.3802,6274.8955,
18378,150.1276511,13.561343,,,,,,,,,,,8247.352,20006.262,12738.633,9879.708,7223.79,9671.389,5595.0947,11212.37,10486.553,11232.184,9919.425,9506.799,9750.664,10417.161,19994.328,7041.043,5625.477,5654.679,6685.1978,7424.331,5425.0337,
4039,150.9510635,1.6494404,,,,,,,,,,,76331.24,25230.838,21993.69,25022.42,20556.332,17998.635,21826.012,26209.824,17903.012,14915.795,36698.98,24665.75,42882.742,3074.706,0,5987.9688,38498.754,1808.846,8480.477,33494.688,18095.176,
4331,150.9510567,1.8154631,,,,,,,,,,,66175.336,37315.47,42494.508,23491.945,52855.805,44897.324,20012.18,15222.627,20350.396,36307.51,29820.467,26434.604,56853.004,31614.803,0,23285.764,60407.324,15977.173,11375.3125,31251.451,40339.15,
3157,150.9510624,1.2113626,,,,,,,,,,,60205.773,80651.06,204930.86,61460.32,55581.375,22005.346,58476.848,51269.246,36550.887,40824.207,139499.44,64615.668,137881.67,43116.938,0,39963.727,88045.04,26409.018,41426.207,9036.836,112977.57,
2539,150.9510835,0.8729228,,,,,,,,,,,413426.25,69718.164,62723.51,47514.6,34287.027,131741.48,183628.34,29057.762,43441.08,55446.832,401053.22,329342.72,54993.94,112752.94,0,24787.344,91348.984,77864.18,46785.41,51184.93,40605.242,
3640,150.9510845,1.398143,,,,,,,,,,,145064.45,94415.766,136488.84,187424.75,26724.215,22584.074,28876.549,18553.95,28445.773,54356.395,20576.604,56725.55,114692.23,20056.494,0,21076.203,23047.766,23708.861,89913.82,56008.758,92126.54,
2095,150.9511088,0.758062,,,,,,,,,,,181624.08,377900.94,381971.9,47514.6,237277.45,216091.1,120631.984,312791.8,278023.62,150085.2,20333.48,133283.69,283016.72,281146.62,0,353672.53,362286.97,97210.74,406019.06,280738.22,371624.06,
18812,150.9511237,13.859917,,,,,,,,,,,259323.39,165690.02,143175.56,215109.28,246818.39,205392.08,254738.31,184938.81,190860.36,230040.77,219438.55,232313.55,242123.33,189251.88,17049.752,234193.06,225629.64,102136.04,173415.17,153529.78,225316.44,
4707,150.9511635,1.9377851,,,,,,,,,,,90461.81,35098.96,90881.555,33401.97,13439.729,30517.05,32117.168,38101.395,28473.932,87581.81,15105.767,29414.463,65429.793,32908.215,0,7842.1807,38218.67,10628.404,4368.808,40896.836,57917.77,
16895,151.03521,11.94963,,,,76,,,,,,,166804.52,12758.048,44591.613,201715.83,1416.3549,328314.75,160968.86,107642.836,148821.05,38697.344,0,180255.44,148176.17,63333.535,0,65638.98,104733.55,9662.996,127411.23,138695.83,173173.84,
17077,151.0352252,12.1388855,,,,,,,,,,,176317.06,123820.43,72504.445,276295.44,283.29675,280680.88,101224.99,120405.68,123973.22,36644.656,0,255475.25,110359.41,59599.81,0,43853.06,232725.2,0,104574.44,55167.23,233553.1,
17324,151.0352266,12.212929,,,,67,,,,,,,47766.957,28186.637,10171.951,200573.42,224.01071,135559.45,83511.42,12956.713,27101.877,13274.432,0,22315.08,106380.66,16105.823,0,36198.97,31431.27,0,13423.959,45057.133,153790.62,
17484,151.0352286,12.318304,,,,,,,,,,,26996.98,5466.2075,5909.565,23241.248,0,24488.863,13567.422,7309.532,9582.522,3807.2378,0,8920.079,2587.6304,0,0,1205.7058,19671.07,0,30759.873,10302.504,49712.008,
18542,151.0353007,13.588629,,,,53,,,,,,,94523.695,137836.4,104604.13,137012.38,87438.65,130990.266,95154.51,105360.59,107437.414,108460.76,98725.48,108218.94,98812.234,94277.34,110755.93,69610.36,104236.35,61932.34,85665.29,87140.84,100447.37,
18921,151.0607872,14.229552,,,,,,,,,,,0,0,0,0,0,0,696.56067,1247.5952,328.51123,13021.755,1909.0289,0,2642.3735,202.69005,0,0,401.56647,0,0,0,0,
19038,151.0607829,14.410309,,,,,,,,,,,0,0,0,0,5538.308,2057.9407,3883.6401,7394.7144,16061.327,12431.016,7481.284,2544.2488,28411.709,3239.336,0,5057.747,4364.377,5607.2314,4566.37,12789.97,8071.831,
10048,151.0751144,7.298412,,,,,,,,,,,0,0,0,0,0,0,0,0,0,46308.715,0,0,0,0,0,0,0,0,0,0,0,
14172,151.0964224,10.068667,,,,,,,,,,,23056.102,27857.527,41601.04,37206.273,26645.355,31644.51,34173.37,34585.22,22538.46,238084.69,22757.307,6458.9414,17823.305,4381.274,59362.168,20668.758,25210.71,5625.921,12168.957,20380.61,4335.3213,
13892,151.0964639,9.973406,,,,,,,,,,,21495.43,22417.61,10996.066,19511.53,20285.594,9361.311,25539.799,33450.58,55341.305,150427.94,34284.184,12217.89,29291.799,29354.98,26972.342,42756.355,23511.934,55650.17,36385.742,50698.633,34739.184,
13564,151.0964361,9.878552,,,,,,,,,,,38389.863,32477.205,40607.754,18112.744,22427.424,19223.418,23793.883,21602.676,17418.125,201126.45,4594.515,15851.808,10993.822,17193.82,56107.957,18456.953,13168.773,5564.7036,11884.825,10766.581,5813.4683,
13295,151.0964699,9.743952,,,,,,,,,,,12775.744,19233.744,6176.746,11673.098,7618.809,15938.14,18631.693,12195.014,13399.806,214569.44,10611.059,9894.817,19735.01,7834.4727,18739.383,14291.58,7475.494,23187.543,14053.858,34917.133,18382.805,
5894,152.0166896,3.29555,,,,,,,,,,,6107.7275,26428.771,31234.854,26156.65,3182.3574,3955.995,12223.255,3487.118,648.43195,4575.2246,264.04532,511.73462,724.6667,0,8401.688,0,371.0495,0,0,0,0,
1227,152.0566813,0.42793578,,,,,,,,,,,475976.06,642595.5,521476.88,1077929.1,344655.1,876262.2,642421.8,1264335,1132677.8,533765.94,376668,1137313,734520.75,1115162.9,0,855332.9,836834.9,755186.9,252662.25,1279832.2,395927,
418,152.0682333,0.30477685,,,,44,,,,,,,38665.12,68590.7,49351.875,31180.832,49285.902,75768.44,69913.375,131011.28,164451.75,29135.205,44790.188,123636.43,63952.395,130928.875,256.38776,136177.12,148366.56,130768.2,182165.27,144383.75,131218.81,
18841,152.070683,14.009308,,,,142,,,,,,,28038.85,22997.963,14602.877,44726.562,14003.346,30489.479,19220.041,23804.096,27182.748,9317.584,39094.29,23865.457,21491.906,22354.426,29606.75,19275.045,40233.89,19554.799,24627.768,17260.695,9433.753,
4549,152.0707284,1.8787775,,,,,,,,,,,7761.0835,11371.735,7693.028,3346.1685,11786.992,16664.04,12573.763,7095.4204,647.881,1302.9299,4715.134,724.3401,6593.385,8850.59,40458.367,4388.4766,3313.357,2892.4563,10781.571,3637.6873,2901.4963,
2522,152.1070748,0.96472675,,,,,,,,,,,91361.87,191326.73,262919.53,299472.5,324738.4,89115.9,123455.72,125697.93,188601.9,56453.23,107589.62,156481.89,113670.38,181831.81,23691.188,102476.91,63698.688,46100.67,69316.34,122014.76,22553.928,
2758,152.1070727,1.0280851,,,,,,,,,,,140273.83,104039.84,80435.87,32902.32,30887.895,185153.86,90695.914,21091.379,64554.336,300022.62,7596.7217,31960.531,50924.605,43611.695,1702.729,19294.041,75922.74,71073.92,26225.19,14486.628,21854.76,
18412,153.1386014,13.56263,,,,1,,,,,,,41609.867,86273.17,61829.97,51906.52,43887.02,45987.812,41785.367,55680.82,46774.805,62015.57,45817.406,45252.87,43640.703,63425.83,106142.74,38482.93,32278.623,33316.06,34131.594,35752.746,35785.094,
1516,153.9979796,0.531792,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51898.133,0,0,0,0,0,0,
