filename	ATTRIBUTE_sample-type	ATTRIBUTE_strain	ATTRIBUTE_GrowthPhase	ATTRIBUTE_Replikate
1_Sel_WT1_ex10.mzML	sample	WT	Exponential	WT_Ex
10_Sel_delta5_ex10.mzML	sample	Delta	Exponential	Delta_Ex
11_Sel_WT1_stat10.mzML	sample	WT	Stationary	WT_Stat
12_Sel_WT2_stat10.mzML	sample	WT	Stationary	WT_Stat
13_Sel_WT3_stat10.mzML	sample	WT	Stationary	WT_Stat
14_Sel_WT4_stat10.mzML	sample	WT	Stationary	WT_Stat
15_Sel_WT5_stat10.mzML	sample	WT	Stationary	WT_Stat
16_Sel_delta1_stat10.mzML	sample	Delta	Stationary	Delta_Stat
17_Sel_delta2_stat10.mzML	sample	Delta	Stationary	Delta_Stat
18_Sel_delta3_stat10.mzML	sample	Delta	Stationary	Delta_Stat
19_Sel_delta4_stat10.mzML	sample	Delta	Stationary	Delta_Stat
2_Sel_WT2_ex10.mzML	sample	WT	Exponential	WT_Ex
20_Sel_delta5_stat10.mzML	sample	Delta	Stationary	Delta_Stat
3_Sel_WT3_ex10.mzML	sample	WT	Exponential	WT_Ex
4_Sel_WT4_ex10.mzML	sample	WT	Exponential	WT_Ex
5_Sel_WT5_ex10.mzML	sample	WT	Exponential	WT_Ex
6_Sel_delta1_ex10.mzML	sample	Delta	Exponential	Delta_Ex
7_Sel_delta2_ex10.mzML	sample	Delta	Exponential	Delta_Ex
8_Sel_delta3_ex10.mzML	sample	Delta	Exponential	Delta_Ex
9_Sel_delta4_ex10.mzML	sample	Delta	Exponential	Delta_Ex
Medium_Blank10.mzML	Blank	None	None	None
