CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
13996	14262	-17.027	13996	0.9603	13996.0	2	adduct_rel_H_NH4 or NH3
8948	8949	-44.025	8948	0.8794	8948.0	2	H2N3:C2H4O
8854	9027	-132.078	8854	0.9482	8854.0	2	 
9027	14262	212.089	9027	0.7425	9027.0	2	 
8854	13971	80.011	8854	0.834	8854.0	2	C2N4:C4H2NO
8754	9143	-264.155	8754	0.8235	8754.0	2	 
10732	10809	0.000	10732	0.8853	10732.0	2	 
13971	13996	17.027	13971	0.9605	13971.0	2	adduct_rel_H_NH4 or NH3
8949	9061	-88.052	8949	0.8486	8949.0	2	 
9061	9143	-44.026	9061	0.8772	9061.0	2	H2N3:C2H4O
8949	9342	162.089	8949	0.7523	8949.0	2	 
8949	9580	74.037	8949	0.7614	8949.0	2	CH4N3O:C3H6O2
8948	9027	-88.052	8948	0.9516	8948.0	2	 
8948	10809	-28.030	8948	0.8783	8948.0	2	C2H4
9143	9442	250.140	9143	0.8021	9143.0	2	 
9027	9061	-44.026	9027	0.9391	9027.0	2	H2N3:C2H4O
13996	14258	0.000	13996	0.9392	13996.0	2	 
14258	14262	-17.027	14258	0.9489	14258.0	2	adduct_rel_H_NH4 or NH3
13971	14262	0.000	13971	0.9904	13971.0	2	 
9143	9342	294.167	9143	0.7527	9143.0	2	 
9027	9143	-88.051	9027	0.8883	9027.0	2	 
8754	8854	-44.026	8754	0.9064	8754.0	2	H2N3:C2H4O
9642	9667	-44.026	9642	0.8862	9642.0	2	H2N3:C2H4O
8948	9061	-132.077	8948	0.9258	8948.0	2	 
10577	10809	-0.000	10577	0.8813	10577.0	2	 
10577	10732	-0.000	10577	0.9018	10577.0	2	 
8754	8949	-132.078	8754	0.8199	8754.0	2	 
8949	9027	-44.026	8949	0.885	8949.0	2	H2N3:C2H4O
13971	14258	17.027	13971	0.9465	13971.0	2	adduct_rel_H_NH4 or NH3
8854	14262	80.011	8854	0.8343	8854.0	2	C2N4:C4H2NO
8754	9027	-176.104	8754	0.8956	8754.0	2	 
9143	9580	206.114	9143	0.7868	9143.0	2	 
8948	10577	-28.030	8948	0.902	8948.0	2	C2H4
8948	9143	-176.103	8948	0.8593	8948.0	2	 
8754	9580	-58.041	8754	0.8556	8754.0	2	CH4N3:C3H6O
8949	9143	-132.078	8949	0.7991	8949.0	2	 
8948	9342	118.064	8948	0.8576	8948.0	2	 
8854	9143	-220.129	8854	0.8486	8854.0	2	 
8754	9061	-220.130	8754	0.8542	8754.0	2	 
9027	13971	212.089	9027	0.7444	9027.0	2	 
8754	9442	-14.015	8754	0.8789	8754.0	2	methanol (-H2O):CH2
9442	9580	-44.026	9442	0.8809	9442.0	2	H2N3:C2H4O
8854	9342	74.037	8854	0.8823	8854.0	2	CH4N3O:C3H6O2
8754	8948	-88.053	8754	0.9151	8754.0	2	 
8948	10732	-28.031	8948	0.9171	8948.0	2	C2H4
8854	8948	-44.027	8854	0.9644	8854.0	2	H2N3:C2H4O
9342	9642	-0.000	9342	0.9023	9342.0	2	 
8854	9061	-176.104	8854	0.9071	8854.0	2	 
9027	9342	206.115	9027	0.8238	9027.0	2	 
8754	9342	30.011	8754	0.8715	8754.0	2	CH2O
8854	8949	-88.052	8854	0.8547	8854.0	2	 
9442	9667	0.000	9442	0.8579	9442.0	2	 
6282	6386	-44.025	6282	0.7526	6282.0	3	H2N3:C2H4O
6161	6282	-132.081	6161	0.727	6161.0	3	 
5918	6014	-61.051	5918	0.7267	5918.0	3	H5N4:C2H7NO
5827	5918	-0.001	5827	0.7131	5827.0	3	 
6014	6386	-264.159	6014	0.7459	6014.0	3	 
6043	6282	-176.106	6043	0.7107	6043.0	3	 
5827	6386	-325.211	5827	0.7259	5827.0	3	 
6014	6282	-220.134	6014	0.7495	6014.0	3	 
6043	6161	-44.025	6043	0.7522	6043.0	3	H2N3:C2H4O
6043	6386	-220.131	6043	0.7087	6043.0	3	 
6043	6205	-88.052	6043	0.7481	6043.0	3	 
6014	6205	-132.080	6014	0.8065	6014.0	3	 
6161	6386	-176.106	6161	0.7242	6161.0	3	 
6161	6205	-44.027	6161	0.7833	6161.0	3	H2N3:C2H4O
6014	6043	-44.028	6014	0.8117	6014.0	3	H2N3:C2H4O
5827	6205	-193.132	5827	0.7704	5827.0	3	 
6014	6161	-88.053	6014	0.7456	6014.0	3	 
6205	6282	-88.054	6205	0.7507	6205.0	3	 
13961	14885	-28.031	13961	0.8885	13961.0	4	C2H4
13522	14885	-28.031	13522	0.8406	13522.0	4	C2H4
12606	13522	-28.031	12606	0.7586	12606.0	4	C2H4
13950	14231	0.000	13950	0.9327	13950.0	4	 
10913	11081	0.000	10913	0.916	10913.0	4	 
11081	13961	-56.062	11081	0.7923	11081.0	4	C4H8
11081	12606	-28.031	11081	0.8148	11081.0	4	C2H4
12606	14231	-42.047	12606	0.714	12606.0	4	C3H6
11081	13522	-56.062	11081	0.7736	11081.0	4	C4H8
13522	13961	0.000	13522	0.9564	13522.0	4	 
13961	14716	-28.031	13961	0.9832	13961.0	4	C2H4
12606	14716	-56.063	12606	0.7086	12606.0	4	C4H8
14716	14885	0.000	14716	0.8845	14716.0	4	 
11081	14716	-84.094	11081	0.7815	11081.0	4	 
12606	13961	-28.031	12606	0.7507	12606.0	4	C2H4
13522	14716	-28.031	13522	0.9493	13522.0	4	C2H4
11081	14885	-84.094	11081	0.7188	11081.0	4	 
10913	12606	-28.031	10913	0.7308	10913.0	4	C2H4
13705	17559	0.000	13705	0.8068	13705.0	5	 
16542	17890	0.000	16542	0.8183	16542.0	5	 
15678	15901	0.000	15678	0.8802	15678.0	5	 
13435	15210	0.000	13435	0.8356	13435.0	5	 
17890	18161	0.000	17890	0.9078	17890.0	5	 
15901	17242	0.000	15901	0.8898	15901.0	5	 
17559	18026	0.000	17559	0.8577	17559.0	5	 
15473	17890	0.000	15473	0.897	15473.0	5	 
17796	18026	0.000	17796	0.8353	17796.0	5	 
13435	14667	0.000	13435	0.8802	13435.0	5	 
13705	14891	0.000	13705	0.8349	13705.0	5	 
17890	18026	0.000	17890	0.8916	17890.0	5	 
15210	18161	0.000	15210	0.8899	15210.0	5	 
15210	17559	0.000	15210	0.8382	15210.0	5	 
15901	17890	0.000	15901	0.8823	15901.0	5	 
15210	17242	0.000	15210	0.8384	15210.0	5	 
17796	17890	0.000	17796	0.883	17796.0	5	 
15901	18358	0.000	15901	0.7474	15901.0	5	 
13705	17242	0.000	13705	0.8082	13705.0	5	 
13705	15210	0.000	13705	0.8558	13705.0	5	 
14667	16754	0.000	14667	0.8219	14667.0	5	 
15210	16754	0.000	15210	0.8242	15210.0	5	 
14336	14891	0.000	14336	0.8638	14336.0	5	 
14336	16754	0.000	14336	0.77	14336.0	5	 
15678	17242	0.000	15678	0.8217	15678.0	5	 
13705	14667	0.000	13705	0.8833	13705.0	5	 
14667	14891	0.000	14667	0.8666	14667.0	5	 
15901	18161	0.000	15901	0.905	15901.0	5	 
14667	17242	0.000	14667	0.815	14667.0	5	 
17242	17890	0.000	17242	0.8681	17242.0	5	 
17453	17890	0.000	17453	0.8513	17453.0	5	 
17453	18161	0.000	17453	0.8804	17453.0	5	 
13435	14336	0.000	13435	0.824	13435.0	5	 
15210	17453	0.000	15210	0.8492	15210.0	5	 
15210	18026	0.000	15210	0.8536	15210.0	5	 
15678	18026	0.000	15678	0.8373	15678.0	5	 
15678	17559	0.000	15678	0.8178	15678.0	5	 
16754	17242	0.000	16754	0.8291	16754.0	5	 
14667	15210	0.000	14667	0.8726	14667.0	5	 
13435	14891	0.000	13435	0.8572	13435.0	5	 
18026	18161	0.000	18026	0.9509	18026.0	5	 
15901	17559	0.000	15901	0.8874	15901.0	5	 
14667	18026	0.000	14667	0.8354	14667.0	5	 
14667	15901	0.000	14667	0.8408	14667.0	5	 
13435	16754	0.000	13435	0.8128	13435.0	5	 
13435	13705	0.000	13435	0.8771	13435.0	5	 
14891	16754	0.000	14891	0.7576	14891.0	5	 
13705	14336	0.000	13705	0.8307	13705.0	5	 
17242	17559	0.000	17242	0.8768	17242.0	5	 
13705	16754	0.000	13705	0.8322	13705.0	5	 
17559	17890	0.000	17559	0.8222	17559.0	5	 
16754	17559	0.000	16754	0.8646	16754.0	5	 
15678	17890	0.000	15678	0.8464	15678.0	5	 
15473	17796	0.000	15473	0.9312	15473.0	5	 
15901	18026	0.000	15901	0.8744	15901.0	5	 
14667	18161	0.000	14667	0.8686	14667.0	5	 
17796	18161	0.000	17796	0.8571	17796.0	5	 
17559	18161	0.000	17559	0.8929	17559.0	5	 
15678	18161	0.000	15678	0.8683	15678.0	5	 
17453	18026	0.000	17453	0.8469	17453.0	5	 
17242	18026	0.000	17242	0.903	17242.0	5	 
17242	18161	0.000	17242	0.9249	17242.0	5	 
